filename,modality,vocal_channel,emotion,voice_intensity,statement,statement_repetition,actor_gender,mfcc_mean,mfcc_max,mfcc_min,mfcc_median,mfcc_std,mfcc_skew,mfcc_kurtosis,mfcc_delta_mean,mfcc_delta_max,mfcc_delta_min,mfcc_delta_median,mfcc_delta_std,mfcc_delta_skew,mfcc_delta_kurtosis,mfcc_delta2_mean,mfcc_delta2_max,mfcc_delta2_min,mfcc_delta2_median,mfcc_delta2_std,mfcc_delta2_skew,mfcc_delta2_kurtosis,chroma_mean,chroma_min,chroma_max,chroma_median,chroma_std,chroma_skew,chroma_kurtosis,mel_mean,mel_max,mel_min,mel_median,mel_std,mel_skew,mel_kurtosis,contrast_mean,contrast_max,contrast_min,contrast_median,contrast_std,contrast_skew,contrast_kurtosis,centroid_mean,centroid_max,centroid_min,centroid_median,centroid_std,centroid_skew,centroid_kurtosis,roll_off_mean,roll_off_max,roll_off_min,roll_off_median,roll_off_std,roll_off_skew,roll_off_kurtosis,rms_mean,rms_max,rms_min,rms_median,rms_std,rms_skew,rms_kurtosis,zero_cr_mean,zero_cr_max,zero_cr_min,zero_cr_median,zero_cr_std,zero_cr_skew,zero_cr_kurtosis
03-01-01-01-01-01-01.wav,3,1,1,1,1,1,1,-16.392443,202.98502,-645.9217,-7.125899,82.844154,0.36527747,0.18198442,3.2900758,36.87685,-15.079271,0.56846195,8.39528,1.8819312,2.3841498,-2.9290655,16.196424,-35.15549,-0.09385516,9.038805,-1.8902708,2.538881,0.6070885,0.14147212,1.0,0.60035443,0.23653369,0.086948596,-0.95204395,0.007324255,1.7076219,1.8607407e-18,5.595399e-05,0.04592008,3.904024,16.927513,24.84877376160381,81.73750607431691,4.558243312149959,18.060075984689,19.179763586132758,-0.33287336353825253,0.9203527058503839,2862.9263932173626,7495.930441500049,1162.137023304802,2306.3708043510564,1505.8558293841118,1.6525130644968766,1.9157296182805919,5278.790509259259,11923.828125,1998.046875,4651.3671875,2714.027774463075,0.9485439551541684,-0.03578216341708185,0.0058702044,0.012585219,0.0010148021,0.005574163,0.0027519884,0.5234879,-0.22380662,0.0715060763888889,0.208984375,0.0234375,0.046875,0.04921438895671211,1.3495983432639065,0.7929858889915602
03-01-01-01-01-02-01.wav,3,1,1,1,1,2,1,-16.195488,193.51984,-644.1635,-6.892159,83.35895,0.25878957,-0.08800083,3.2817664,36.88804,-14.507144,0.62649226,8.581219,1.8573546,2.2983377,-3.0015662,15.750255,-34.858368,-0.14053896,9.1439705,-1.889248,2.4970906,0.5651178,0.1350881,1.0,0.5269627,0.24743819,0.23197532,-0.9668317,0.008444981,1.4591303,1.7025634e-18,5.3372838e-05,0.052459598,3.737249,15.052235,25.44538123385577,81.39486101045398,5.744723666856768,18.907479973309755,19.20178970491545,0.10169013807970557,2.415374491450334,2856.2679372975826,7574.012463941633,1196.255587240374,2532.671446237791,1438.0286872535366,1.745676439602821,2.5971917253001235,5509.765625,11837.890625,2041.015625,5156.25,2578.7363148343247,0.8144593831350818,0.048690757026676135,0.006225219,0.0130472025,0.0010026074,0.005672382,0.0030020461,0.47200543,-0.44749928,0.06391157670454546,0.18310546875,0.01953125,0.04833984375,0.0423004050086502,1.3476010915876242,0.8437756577615252
03-01-01-01-02-01-01.wav,3,1,1,1,2,1,1,-15.760641,209.64243,-599.33685,-6.8119535,80.97344,0.34963542,-0.07956115,3.1839383,33.61964,-16.218931,0.5213311,8.18826,1.8125311,2.2585227,-2.7330346,16.290403,-33.561646,-0.0033015986,8.7989025,-1.8459687,2.446758,0.5661474,0.08551338,1.0,0.5432277,0.23602465,0.195621,-0.7469081,0.011150895,1.7265851,2.294504e-18,7.728041e-05,0.0653258,3.784763,16.238434,25.27140215708848,84.23101188787346,3.3359497153824593,18.38724654504661,19.357776252480033,-0.36487570294993227,1.243544167281449,3147.0766380604027,9735.443473800891,1074.7228321676437,2347.152059329244,2109.463109733153,1.894945259685339,2.5804312620207313,5705.295138888889,12525.390625,1890.625,5059.5703125,3023.452212110204,0.8776418278508267,-0.24728287167957053,0.007236563,0.017972853,0.0014402192,0.0062813917,0.003824937,1.1263505,0.75477076,0.08665183738425926,0.42431640625,0.0146484375,0.04833984375,0.09148292395149057,2.1588224832438403,4.017514200929911
03-01-01-01-02-02-01.wav,3,1,1,1,2,2,1,-16.046278,215.37698,-620.35815,-7.4273586,81.609146,0.24067001,-0.124087594,3.1854935,34.72454,-14.316382,0.49604315,8.297734,1.8268559,2.279578,-2.840508,17.101452,-35.49982,-0.06886597,8.946567,-1.8739736,2.477692,0.60573757,0.11252976,1.0,0.58691067,0.22968744,0.15846275,-0.64534265,0.010259573,1.9047546,2.764673e-18,6.6934466e-05,0.06136058,3.518846,13.859685,25.348465137235213,82.52133694691575,4.348983008097347,19.184102260600547,19.175904149081216,-0.30695945002309805,0.998655323576572,3128.8847557874647,9390.101250954282,1315.9330934354093,2504.069839552116,2070.285142123739,1.7321405286757485,1.9911671190275273,5710.712139423077,12482.421875,1847.65625,5134.765625,3071.179190478233,0.7975912083297068,-0.43300727635840053,0.0067811543,0.018385822,0.0013002655,0.005872463,0.0040131705,1.5832044,1.841371,0.08822866586538461,0.40625,0.01318359375,0.0478515625,0.09387328714728027,1.8035620544391453,2.2451440869087715
03-01-02-01-01-01-01.wav,3,1,2,1,1,1,1,-16.582544,205.08063,-692.11237,-6.5772266,90.93343,0.42559204,0.35571584,3.6137369,36.72925,-16.627687,0.5214013,9.608305,1.9335617,2.5198526,-3.500603,16.007256,-40.198223,-0.1433321,10.313665,-1.9813598,2.6357114,0.5778234,0.11330568,1.0,0.5647652,0.25210568,0.09423977,-1.0403013,0.0037915148,0.6401419,3.5498777e-19,1.6816808e-05,0.025327105,4.040977,18.388142,24.880821941542113,81.26393404832108,4.063841207634679,18.3411429025383,18.763746143032037,-0.10800076386457981,1.069843079982071,2960.606597816371,9750.240415859971,1139.8433852045891,2276.820616266666,1967.0348950715386,1.8191919196497623,2.782985908111301,5386.439732142857,12826.171875,1912.109375,4705.078125,3170.486018069265,0.8904070732355123,-0.36235452952188263,0.003907353,0.010987509,0.0006519892,0.0033224032,0.0023914902,1.0280212,0.6779454,0.08239552331349206,0.37451171875,0.0185546875,0.0478515625,0.07689071844364113,2.0385562427283124,3.821344114861769
03-01-02-01-01-02-01.wav,3,1,2,1,1,2,1,-17.660349,204.06836,-689.01245,-7.9207916,91.277664,0.42267862,0.48429233,3.6483295,38.62413,-15.450373,0.43268028,9.715164,1.9729795,2.5980835,-3.4366555,15.859419,-41.152565,-0.06422066,10.359543,-2.0185564,2.699215,0.5956682,0.1183602,1.0,0.5802137,0.24033393,0.14990129,-0.89818794,0.003791239,1.1301581,5.14617e-19,1.5025006e-05,0.031690415,4.5375795,22.9691,25.20345426609632,79.97103313362236,6.184507028523818,18.920659469092953,18.1667055725185,-0.242203131542197,1.096724282342675,2622.9501568685755,8118.694765043738,1026.0470717962953,2020.434669883766,1650.6133118003415,1.716716329242674,2.244035653523964,4866.2109375,12568.359375,1375.0,3362.3046875,3123.9234290611553,1.1259354198735108,0.015309836625676976,0.0038180011,0.012936081,0.0006108342,0.0031886778,0.0025237438,1.838718,3.5903382,0.0615234375,0.201171875,0.01171875,0.040771484375,0.04877221966995044,1.3590656937495291,0.9179104587260363
03-01-02-01-02-01-01.wav,3,1,2,1,2,1,1,-16.972311,202.5211,-676.9355,-7.5936103,87.03499,0.26052213,-0.034853213,3.619772,40.907642,-16.310944,0.49534988,9.137187,1.9253639,2.4633718,-3.2786603,15.284644,-38.741066,-0.09438367,9.761746,-1.9504355,2.5573995,0.5726033,0.10830372,1.0,0.54408437,0.24722885,0.23387073,-0.9148412,0.0061975727,0.61433923,1.1388804e-18,3.545783e-05,0.03114308,4.0651016,19.129147,25.825400773623752,84.11551091706622,4.019954582591097,20.028220996779147,18.58215567517496,-0.4516674998209176,1.0206509524858443,3118.9644385169545,10048.674585174354,1041.7044683254035,2348.5742279376423,2352.8161138861983,1.8765239098812474,2.3272413497751456,5434.301403985507,12353.515625,1804.6875,4748.046875,3167.5185239166854,1.0071261938505212,-0.17237217137495264,0.005676406,0.011928016,0.0007235624,0.0051861787,0.0027622967,0.43442222,-0.3331945,0.09469825634057971,0.45263671875,0.015625,0.048828125,0.1106015535053027,1.9459743746871174,2.7178678936546836
03-01-02-01-02-02-01.wav,3,1,2,1,2,2,1,-16.499496,212.80238,-650.24884,-7.635051,85.47615,0.20383725,-0.0019688844,3.5601025,38.228077,-15.996893,0.57286817,8.750995,1.8814198,2.3973787,-3.1341999,15.681381,-37.350037,-0.09699873,9.365781,-1.9092057,2.5382552,0.54040444,0.11248088,1.0,0.49500385,0.2425275,0.43338528,-0.49200502,0.007979681,0.79753375,1.4922843e-18,4.5902692e-05,0.041551623,3.8633518,17.337502,26.03797731665573,82.80799629544539,3.265826206231326,19.726432322795468,18.280346994562805,-0.3494422244461068,1.582341346043523,2854.2120614861024,9882.892013223944,1061.1779727229284,2089.0397019761467,2107.8151910810534,2.122016979062794,3.6486660145678735,5133.1129807692305,12783.203125,1654.296875,3910.15625,3120.4177874444777,1.155274174880784,0.18316376076047058,0.0060885665,0.013089883,0.0009853297,0.005069337,0.0030758746,0.80760497,-0.22904849,0.07735877403846154,0.43505859375,0.015625,0.04296875,0.09355322778999826,2.566015950793671,5.954153851355432
03-01-02-02-01-01-01.wav,3,1,2,2,1,1,1,-17.937048,203.34822,-679.0495,-7.90504,93.22275,0.21754,0.057517685,3.7147658,40.528973,-16.664236,0.36456776,9.978305,2.0164135,2.6852748,-3.6308424,14.94612,-40.41092,-0.09986243,10.657492,-2.046219,2.7398245,0.5971152,0.123853244,1.0,0.58307487,0.23667672,0.099214725,-0.79623944,0.0022343479,0.356012,3.8692045e-19,1.1858032e-05,0.013384162,4.437292,22.628365,25.585694989624482,78.72547059499942,3.95997363542609,19.56840148688525,17.95295949631855,-0.3579800246630566,2.1201326863302143,2713.321784791555,8346.43267139006,822.2454227103451,2161.992067057572,1707.8803119699455,1.7786385957053286,2.449482781229765,4997.378700657895,12826.171875,859.375,4221.6796875,3024.571838088007,1.014896017401909,0.0288208357200892,0.0031232664,0.008056729,0.00060977816,0.0030932906,0.0015577775,1.152684,1.9229231,0.0623779296875,0.2529296875,0.0126953125,0.03662109375,0.05749357577167483,1.6077298301380176,1.6684210659163083
03-01-02-02-01-02-01.wav,3,1,2,2,1,2,1,-17.221798,198.82188,-655.72205,-6.756892,92.25025,0.3806623,0.39655676,3.863682,40.170425,-16.322365,0.46455342,10.172467,2.0020216,2.631815,-3.5891023,15.609255,-39.520855,-0.0812923,10.580049,-2.064527,2.768866,0.6245365,0.111392535,1.0,0.62000084,0.23956774,-0.05647661,-0.8170986,0.0025026747,0.79241574,2.087525e-19,1.23874415e-05,0.021973029,4.6029615,24.592726,24.798930080110047,81.02821771130374,6.087189057266691,18.579213089567798,18.700752012018967,-0.13301817864142493,1.520823986203612,3202.8286019393013,9938.024884520339,1020.1871772978783,2211.625896569629,2374.265593446945,1.5888232000286193,1.4125784289008267,5533.831716954023,13062.5,1246.09375,4533.203125,3489.7224914803605,0.8670118283655404,-0.5908665916130094,0.0031378386,0.010385935,0.00045032837,0.002642376,0.0019646825,1.6409448,3.5032988,0.09602864583333333,0.4736328125,0.01611328125,0.0478515625,0.11386218690603273,2.105367301500125,3.5062793282965865
